"CLAVE
PRODUCTO",DESCRIPCION,"EXISTENCIA
GENERAL",TUS,TEJU,CARR,MET,PINO,VEN,POR LLEGAR,PROVEEDOR,MAYOREO,BUEN FIN 2025,COSTO PUBLICO,
,R 12,,,,,,,,,,,,,
,P175/70R12 JOYROAD HP RX3 80T,4,2,2,,,,,,$781,"$1,000",$980,"$1,350",
,R 13,,,,,,,,,,,,,
,P155/70R13 NEXEN N-PRIZ GX 75T,0,0,,,,,,,$699,$850,$910,"$1,050",
,P155/70R13 CHAMPIRO UP1 75T,2,,2,,,,,,$800,$950,$950,"$1,150",
,P155/70R13 KAPSEN HD918 75T,7,5,,,1,1,,,$510,$680,$799,$950,
,P155/70R13 MILEKING MK667 75T,2,1,,,0,1,,,$465,$620,$799,$890,
,P175/70R13 TATKO ECO COMFORT 82H TW400 (A)(A) ,2,,,1,,,1,,$690,$760,,$960,
,P175/70R13 JOYROAD RX328 TAXI 82H (DESEJADA ADOLFO 1PZ),13,1,,8,,,4,,$839,$989,$950,"$1,050",
,P175/70R13 MAXXIS PRAGMATRA MP10 82H,2,2,,,,,,,"$1,131","$1,331","$1,331","$1,500",
,P175/70R13 ALTENZO LINEAR 82H,4,2,,,1,1,,,$680,$750,$820,$990,
,P175/70R13 HANKOOK OPTIMO H724 82T,4,,4,,,,,,$943,"$1,050","$1,050","$1,300",
,P175/70R13 GOODYEAR DURAGRIP 82T BLK,2,,2,,,,,,"$1,000","$1,190","$1,200","$1,300",
,P175/70R13 MICHELIN ENERGY XM2+ 82T,4,,4,,,,,,"$2,120","$2,320","$2,400","$2,620",
,P175/70R13 JOYROAD RX1 82H,3,3,,,,,,,$560,$720,"$2,400",$950,
,P175/70R13 MILEKING RUNSPIRIT 82T,60,52,,,4,4,,,$455,$590,"$2,400",$790,750
,P175/70R13 ROYAL BLACK TOURING 2 82T BLK (2 PZS PARA VILLA VICTORIA),2,2,,,,,,,$540,,,,
,P185/70R13 GALLANT GL-16 86T TW 400 (A)(A),1,,,1,,,,,$710,$890,$940,$980,
,P185/70R13 NEXEN N PRIZ SH9I 86T BLK,2,,2,,,,,,"$1,150","$1,250","$1,350","$1,450",
,P205/60R13 TORNEL DIRECCIONAL 86S BLK ,3,3,,,,,,1,"$1,020","$1,261","$1,236","$1,410",
,P205/60R13 SUMITOMO HTR900 86H,14,4,4,,4,2,,,"$1,240","$1,480","$1,480","$1,650",1580
,R 14,,,,,,,,,,,,,
,P155/70R14 HANKOOK H735 KINERGY ST KONTROL 77T BLK,2,2,,,,,,,$996,"$1,300","$1,280","$1,408",
,P155/70R14 ROADMARCH PRIMESTART 66 77T,1,1,,,,,,,$887,$950,"$1,080","$1,190",
,P155/70R14 SONIX PRIMESTART 66 77T,8,6,,,1,1,,,$690,$790,$890,$990,
,P165/55R14 ROADMARCH PRIMESTAR 66 72V,4,4,,,,,,,$663,$910,$910,$963,
,P165/65R14 HANKOOK H735 KINERGY ST KONTROL 79T BLK,4,3,,,1,,,,"$1,178","$1,500","$1,420","$1,670",1400
,P165/65R14 ALTENZO EQUATOR 79H,1,,1,,,,,,$780,$940,"$1,040","$1,240",
,P165/65R14 BROADPEAK SICHER PC1 VT 79H ,4,3,,,,1,,,$580,$780,"$1,040",$990,
,P165/70R14 HANKOOK H426 OPTIMO 85T BLK XL,1,,,1,,,,,"$1,192","$1,522","$1,522","$1,700",
,P165/70R14 JOYROAD TOUR RX1 81T (4 PZS ADOLFO APARTADAS TOTALPLAY),9,8,,,,1,,,$695,$900,$990,"$1,190",
,P165/70R14 MIRAGE MR-166 81T (2 PZS ADOLFO APARTADAS TOTALPLAY),2,1,,,1,,,,$569,$769,$890,"$1,100",
,P165/70R14 NEXEN N-RIZ GX 81T,4,4,,,,,,,$900,"$1,135",$890,"$1,490",
,LT165R14 TRIANGLE TR652 6PR 91/90S (DE CARGA),12,10,,,1,1,,,"$1,165","$1,400","$1,450","$1,850",
,P175/65R14 TRANSMATE TRANSERENUS ECO TW 520 (A)(A),12,,,8,,,4,,$790,$910,,"$1,200",
,P175/65R14 ALTENZO EQUATOR 82H,11,9,,,1,1,,,$785,$980,"$1,050","$1,180",
,P175/65R14 JOYROAD TOUR RX1 82H ,64,4,,33,1,1,25,,$756,$976,$999,"$1,256",
,P175/65R14 NEXEN N-PRIZ GX 82H TW 400 (A)(A),8,2,,3,1,1,1,,"$1,050","$1,270","$1,298","$1,550",
,P175/70R14 JOYROAD RX328 TAXI 84T TW 600 (A)(A)(2 PZS ADOLFO APARTADAS TOTALPLAY),4,2,,2,,,,,$915,"$1,091","$1,180","$1,370",
,P175/70R14 GALLANT GL-16 84T (2 PZS APARTADAS ADOLFO PARA TOTALPLAY),4,4,,,,,,,$706,$790,$870,$970,
,P175/70R14 JOYROAD TOUR RX1 84H TW 400 (A)(A),9,,,9,,,,,$725,$880,$997,"$1,150",
,P175/70R14 SUMITOMO HTR900 84H,4,4,,,,,,,"$1,092","$1,220","$1,300","$1,470",
,P175/70R14 MILEKING RUNSPIRIT 88T XL ,1,0,,,1,0,,,$545,$750,,$970,
,LT175/70R14 LCH T-REX ALL-TERRAIN T/A 98/96S 10PR,8,,,4,,,4,,"$1,080","$1,280",,"$1,680",
,P175/70R14 MOMO OUTRUN M-20 PRO 88T,8,8,,,,,,,$874,"$1,100",,"$1,400",
,P185/60R14 JOYROAD HP RX328 TAXI 82H TW 600 (A)(A),55,1,,32,1,1,20,,$877,"$1,090","$1,150","$1,290",
80118560141030,P185/60R14 HANKOOK H735 KINERGY ST 82T BLK,4,3,,,1,,,,"$1,320","$1,498","$1,520","$1,720",
,P185/60R14 ALTENZO EQUATOR EB70 82H,8,5,1,,1,1,,8,$795,$900,$990,"$1,290",
,P185/60R14 SUMITOMO HTR A/S P01 82H,2,2,,,,,,,$920,"$1,000","$1,150","$1,350",
